epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,2.304377350234985,0.1135,0.02039166367229608,0.011353406021806543,0.1,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.9996598639455782, 0.0, 0.0003401360544217687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,orchestrator,1.948166671180725,0.413,0.3621179220716483,0.411000413902015,0.4064515675880339,"[0.86326531 0.62643172 0.21414729 0.94158416 0.         0.05605381
 0.717119   0.6459144  0.         0.        ]","[0.863265306122449, 0.6264317180616741, 0.21414728682170542, 0.9415841584158415, 0.0, 0.05605381165919283, 0.7171189979123174, 0.6459143968871596, 0.0, 0.0]","[0.008041107317353227, 0.13308062356726577, 0.02470590962193802, 0.46569438462570684, 0.0, 0.012479305651666705, 0.007109975610190087, 0.008386951841397212, 0.0, 0.0]"
2,orchestrator,1.4648141275405884,0.4818,0.4036567193469992,0.37974961164916243,0.47867684639482383,"[0.92755102 0.630837   0.33333333 0.6960396  0.         0.40022422
 0.85281837 0.92217899 0.         0.02378593]","[0.9275510204081633, 0.6308370044052863, 0.3333333333333333, 0.696039603960396, 0.0, 0.4002242152466368, 0.8528183716075156, 0.9221789883268483, 0.0, 0.023785926660059464]","[0.02681893135435366, 0.10723245210744473, 0.03840897564064614, 0.16082993277679875, 0.0003229974160206719, 0.03357432106674209, 0.04635803483456971, 0.14615086838195965, 0.0, 0.01955143487166028]"
3,orchestrator,1.416666160583496,0.5265,0.4848851613847901,0.5158145860505141,0.523367873070954,"[0.80102041 0.62819383 0.49224806 0.80792079 0.0101833  0.51569507
 0.75469729 0.80350195 0.         0.42021804]","[0.8010204081632654, 0.628193832599119, 0.49224806201550386, 0.807920792079208, 0.010183299389002037, 0.5156950672645741, 0.7546972860125261, 0.8035019455252919, 0.0, 0.42021803766105054]","[0.0029585183096887155, 0.09375142641291509, 0.04367802162558586, 0.21727228669048634, 0.001524503376386233, 0.04405735836631508, 0.018360845274292607, 0.05060363708412052, 0.0, 0.05738465500359388]"
4,orchestrator,1.3487578746795654,0.5524,0.5475182466124211,0.5967836849507772,0.5541534203239016,"[0.85       0.53832599 0.51356589 0.11485149 0.24949084 0.59080717
 0.65031315 0.68968872 0.75975359 0.58473736]","[0.85, 0.5383259911894274, 0.5135658914728682, 0.11485148514851486, 0.2494908350305499, 0.5908071748878925, 0.6503131524008352, 0.6896887159533074, 0.7597535934291582, 0.5847373637264618]","[0.004890270914181964, 0.07231249715121796, 0.04866066809300153, 0.023428137589655458, 0.014363632024425886, 0.04982782275167892, 0.00862971032416398, 0.02894333965658182, 0.17119911156632048, 0.0731298984577703]"
5,orchestrator,1.3344772607803346,0.5506,0.5407994026843437,0.5696014686904024,0.5498498429583922,"[0.73571429 0.55770925 0.50678295 0.78613861 0.44704684 0.58183857
 0.67014614 0.57684825 0.         0.63627354]","[0.7357142857142858, 0.5577092511013215, 0.5067829457364341, 0.7861386138613862, 0.4470468431771894, 0.5818385650224216, 0.6701461377870563, 0.5768482490272373, 0.0, 0.6362735381565907]","[0.0014059365191875723, 0.06709822027193044, 0.04694077821568982, 0.20574676458553687, 0.02756452953765086, 0.05374375738384331, 0.008522044518823756, 0.01687631350330905, 0.0, 0.0722684966213703]"
6,orchestrator,1.3060667796134948,0.5451,0.5128212056515336,0.5809012485897662,0.5413084805794866,"[0.77346939 0.99030837 0.4748062  0.04455446 0.65784114 0.71748879
 0.67118998 0.64494163 0.01232033 0.42616452]","[0.7734693877551021, 0.9903083700440528, 0.4748062015503876, 0.04455445544554455, 0.6578411405295316, 0.7174887892376681, 0.6711899791231732, 0.6449416342412452, 0.012320328542094456, 0.4261645193260654]","[0.0017879451622549636, 0.2600847145285148, 0.043494144090862316, 0.007896748619047612, 0.05272725880358695, 0.06931022635189998, 0.007768383881442187, 0.024088045734295547, 0.004236190518203222, 0.038263586110463044]"
7,orchestrator,1.3316527364730835,0.5175,0.48441757803121027,0.5501868595120624,0.5130877403839966,"[0.70612245 0.98678414 0.42829457 0.03762376 0.79124236 0.65358744
 0.565762   0.5729572  0.         0.38850347]","[0.7061224489795919, 0.986784140969163, 0.42829457364341084, 0.03762376237623762, 0.7912423625254583, 0.6535874439461884, 0.5657620041753654, 0.5729571984435797, 0.0, 0.38850346878097125]","[0.0007197339352177615, 0.27777624623193237, 0.051395754323878586, 0.00694501865057907, 0.0864115253722078, 0.062169960200240494, 0.0033486038968443144, 0.014670885146481578, 0.0, 0.037575894038177335]"
8,orchestrator,1.2982965810775757,0.5326,0.49616975826729287,0.5529558464465009,0.5291026507306362,"[0.75102041 0.99030837 0.37596899 0.03366337 0.81771894 0.68721973
 0.64718163 0.58754864 0.         0.40039643]","[0.7510204081632653, 0.9903083700440528, 0.3759689922480621, 0.033663366336633666, 0.8177189409368636, 0.6872197309417041, 0.6471816283924844, 0.5875486381322957, 0.0, 0.400396432111001]","[0.0014142530845270038, 0.26868538168705414, 0.04098305640999532, 0.0064329619958094515, 0.08609657147847542, 0.06182087586128741, 0.004963590976947675, 0.015338590156935429, 0.0, 0.037483995314927916]"
9,orchestrator,1.3013426460266113,0.5199,0.481224640777716,0.5437344314559575,0.5162150911082584,"[0.73877551 0.99030837 0.37887597 0.01386139 0.84317719 0.68721973
 0.565762   0.54377432 0.         0.40039643]","[0.7387755102040816, 0.9903083700440528, 0.37887596899224807, 0.013861386138613862, 0.8431771894093686, 0.6872197309417041, 0.5657620041753654, 0.5437743190661478, 0.0, 0.400396432111001]","[0.001076527792376621, 0.2680408652172717, 0.049445107353212406, 0.0036518966104731737, 0.10068398921119327, 0.06112131209493721, 0.003348603896844315, 0.010045843851470017, 0.0, 0.040124641629711945]"
