epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.6386913845062256,0.6993,0.670719418057854,0.7363202937459228,0.6928008798659018,"[0.91530612 0.99295154 0.53003876 0.9039604  0.07331976 0.57959641
 0.80271399 0.84824903 0.41170431 0.87016848]","[0.9153061224489796, 0.9929515418502204, 0.5300387596899224, 0.903960396039604, 0.07331975560081466, 0.5795964125560538, 0.802713987473904, 0.8482490272373541, 0.41170431211498976, 0.8701684836471755]","[0.017609276063402273, 0.06864812163757167, 0.0063505814995361825, 0.04515197611605639, 0.006490560998732982, 0.03496713600810407, 0.00479635174690259, 0.015912878296982166, 0.009345518920832779, 0.13205995441643242]"
1,orchestrator,0.5665990328788757,0.8381,0.8328404006329265,0.8360930412961519,0.8347418425873906,"[0.96632653 0.98590308 0.78682171 0.88316832 0.85641548 0.69282511
 0.91231733 0.85797665 0.637577   0.76808722]","[0.9663265306122447, 0.9859030837004403, 0.7868217054263565, 0.8831683168316832, 0.8564154786150714, 0.6928251121076233, 0.9123173277661796, 0.8579766536964981, 0.6375770020533881, 0.7680872150644202]","[0.015492871691570083, 0.017107822177511486, 0.010612443121736629, 0.02517981061333502, 0.024802873690328495, 0.0240895164393707, 0.014127651755667587, 0.010930340028160708, 0.015506265829558028, 0.02577057955566062]"
2,orchestrator,0.4379544065952301,0.8734,0.8701019258028854,0.8721239207330169,0.8711891141388852,"[0.97142857 0.97885463 0.83236434 0.89108911 0.92158859 0.76345291
 0.92797495 0.8959144  0.77104723 0.75817641]","[0.9714285714285714, 0.9788546255506608, 0.8323643410852711, 0.8910891089108911, 0.9215885947046843, 0.7634529147982063, 0.9279749478079332, 0.8959143968871596, 0.771047227926078, 0.7581764122893955]","[0.013577393486752675, 0.009418843054649042, 0.01003803723589036, 0.020106518398783815, 0.021693593165989313, 0.014683604386300128, 0.012081975482240017, 0.013142167159188319, 0.016319990058733205, 0.012061084083822941]"
3,orchestrator,0.3893276579409838,0.8919,0.889509176008071,0.8916845117845515,0.8895933861317834,"[0.96530612 0.98061674 0.85852713 0.9029703  0.92057026 0.75672646
 0.934238   0.90077821 0.83675565 0.839445  ]","[0.9653061224489796, 0.9806167400881057, 0.8585271317829455, 0.902970297029703, 0.9205702647657841, 0.7567264573991032, 0.9342379958246346, 0.9007782101167315, 0.8367556468172485, 0.8394449950445986]","[0.009732041956862579, 0.008309290581105978, 0.010461110856619568, 0.018430273444170107, 0.01363586180230055, 0.007233903442225976, 0.012215301472642926, 0.011388657201163974, 0.019044265779473664, 0.01222330887256414]"
4,orchestrator,0.3634289058096707,0.9003,0.8983145022620989,0.8992965624804438,0.8984609004499852,"[0.97040816 0.98414097 0.86337209 0.9019802  0.9287169  0.80493274
 0.93319415 0.89883268 0.83778234 0.86124876]","[0.9704081632653061, 0.9841409691629956, 0.8633720930232556, 0.901980198019802, 0.9287169042769858, 0.804932735426009, 0.9331941544885177, 0.8988326848249028, 0.837782340862423, 0.8612487611496531]","[0.009948076381691755, 0.00766203894978052, 0.008994269167848522, 0.015642688322552705, 0.012609233672315208, 0.009714738125071336, 0.010652774014274224, 0.010378940834117858, 0.014237120455789532, 0.012981341798797147]"
5,orchestrator,0.35761603821255267,0.9048,0.9030086557194037,0.9039756862454918,0.9030838111000105,"[0.97346939 0.98502203 0.86821705 0.8990099  0.9287169  0.81726457
 0.93736952 0.90953307 0.84702259 0.86521308]","[0.9734693877551021, 0.9850220264317181, 0.8682170542635657, 0.899009900990099, 0.9287169042769857, 0.8172645739910314, 0.9373695198329854, 0.9095330739299611, 0.8470225872689938, 0.865213082259663]","[0.0104048132632666, 0.007544004748353101, 0.0093302782875023, 0.013736526819753311, 0.011463533488837737, 0.008464170694200517, 0.009898174527737422, 0.010642856919916708, 0.015089979502193965, 0.011110316081559928]"
6,orchestrator,0.3557726521486416,0.9072,0.9055911201560306,0.9065034082408421,0.9057191256056516,"[0.97244898 0.9814978  0.85755814 0.90693069 0.93279022 0.82847534
 0.94050104 0.91342412 0.85934292 0.864222  ]","[0.9724489795918367, 0.9814977973568282, 0.8575581395348837, 0.906930693069307, 0.9327902240325867, 0.82847533632287, 0.9405010438413361, 0.9134241245136187, 0.8593429158110883, 0.8642220019821606]","[0.008546937030942706, 0.006286578717541359, 0.007913876629347541, 0.01500714101519819, 0.011926790710936375, 0.008589208935940618, 0.010001764734089116, 0.010151113691057343, 0.016005126823127505, 0.010327988816650806]"
7,orchestrator,0.35080432008123025,0.9122,0.910660774089062,0.9114089243423612,0.9106917363071503,"[0.97346939 0.98237885 0.87596899 0.9029703  0.92566191 0.83183857
 0.95302714 0.92023346 0.85831622 0.88305253]","[0.9734693877551021, 0.9823788546255506, 0.8759689922480618, 0.902970297029703, 0.9256619144602852, 0.8318385650224216, 0.9530271398747391, 0.9202334630350194, 0.8583162217659137, 0.8830525272547076]","[0.00796893043209358, 0.005544848476667276, 0.008651824506763913, 0.014046665517090932, 0.009731752770744364, 0.0077790910195335815, 0.009901449068638891, 0.010391270229490835, 0.013532494459890873, 0.01168307762225197]"
8,orchestrator,0.35888287650940476,0.9131,0.9115529328585051,0.9123189658280036,0.9115553279150428,"[0.97653061 0.98325991 0.87887597 0.90792079 0.9185336  0.83520179
 0.94676409 0.92412451 0.85831622 0.88602577]","[0.976530612244898, 0.9832599118942731, 0.8788759689922478, 0.907920792079208, 0.9185336048879837, 0.8352017937219731, 0.9467640918580376, 0.9241245136186771, 0.8583162217659137, 0.8860257680872151]","[0.008891073633883369, 0.0049755418085323366, 0.008650007273832238, 0.014191487006039033, 0.009737615110590396, 0.00766187713351427, 0.009321034611754311, 0.01017520531258752, 0.012740689590694916, 0.011927326390746328]"
9,orchestrator,0.35860375753898405,0.9162,0.9147637200131393,0.915415357371327,0.9147662756445133,"[0.97653061 0.98325991 0.88565891 0.91287129 0.92566191 0.84641256
 0.94780793 0.92023346 0.85626283 0.89296333]","[0.9765306122448978, 0.9832599118942731, 0.885658914728682, 0.9128712871287129, 0.9256619144602852, 0.8464125560538116, 0.9478079331941545, 0.9202334630350195, 0.8562628336755647, 0.8929633300297324]","[0.007615236264515681, 0.00530536946843801, 0.007188724155166483, 0.013980709915293063, 0.010791401133715696, 0.008349772849378656, 0.008406191290046803, 0.00896249114334782, 0.011646398169040943, 0.012457843783819743]"
10,orchestrator,0.3543250340500497,0.9176,0.9162427086540076,0.9168088392595901,0.9162699345825039,"[0.9755102  0.98414097 0.88468992 0.90891089 0.92260692 0.85201794
 0.9519833  0.92607004 0.87371663 0.88305253]","[0.9755102040816327, 0.9841409691629956, 0.88468992248062, 0.9089108910891089, 0.9226069246435845, 0.852017937219731, 0.9519832985386222, 0.9260700389105059, 0.8737166324435318, 0.8830525272547076]","[0.007272995432166034, 0.004752806439305004, 0.007425141611116974, 0.01313492851689196, 0.010186276747223598, 0.00764762695767534, 0.00945131151713067, 0.009510637072022475, 0.01275182653185304, 0.01089985519405491]"
11,orchestrator,0.35099728602303076,0.9205,0.9192185499934842,0.9196004418248375,0.9192661531980013,"[0.97653061 0.98325991 0.89437984 0.91089109 0.92260692 0.86434978
 0.95511482 0.92412451 0.86447639 0.89692765]","[0.9765306122448978, 0.9832599118942731, 0.8943798449612401, 0.9108910891089109, 0.9226069246435846, 0.8643497757847534, 0.9551148225469729, 0.9241245136186771, 0.864476386036961, 0.8969276511397423]","[0.00739538911363597, 0.004756763524601871, 0.007743163425364001, 0.011754278317225246, 0.009166308479569686, 0.00809251810450077, 0.008874633428784275, 0.008626671105746577, 0.011504480694703556, 0.011790068030310994]"
12,orchestrator,0.35670578068188624,0.9228,0.9216088246591975,0.9219413921310139,0.9216962120526058,"[0.97857143 0.98414097 0.89244186 0.91188119 0.92566191 0.87331839
 0.9519833  0.9270428  0.88193018 0.88999009]","[0.9785714285714285, 0.9841409691629956, 0.8924418604651161, 0.9118811881188119, 0.9256619144602852, 0.8733183856502242, 0.9519832985386222, 0.9270428015564203, 0.8819301848049281, 0.889990089197225]","[0.007965079147145688, 0.004433347175486491, 0.007527312883929962, 0.010817079487139948, 0.009291539990114858, 0.00774412534710911, 0.008846786470799667, 0.00907110831437789, 0.011456930248575437, 0.009850899765759001]"
