epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.2769859011650087,0.7716,0.7611408329117013,0.7780582820521775,0.7662366222078164,"[0.96020408 0.97797357 0.75581395 0.83465347 0.73625255 0.51345291
 0.84968685 0.88910506 0.64373717 0.50148662]","[0.960204081632653, 0.9779735682819384, 0.7558139534883722, 0.8346534653465346, 0.7362525458248473, 0.5134529147982064, 0.8496868475991649, 0.8891050583657588, 0.6437371663244353, 0.5014866204162537]","[0.02872780754761084, 0.02655749679871689, 0.013708259794898314, 0.04252248329459926, 0.017875209502667883, 0.010739057692314856, 0.02381641128744185, 0.05253620019306832, 0.024140336193868003, 0.01911382413057329]"
1,orchestrator,0.6021428973436356,0.8528,0.8485216393907711,0.8513348607392064,0.8494762623097145,"[0.96530612 0.9753304  0.86143411 0.82871287 0.87576375 0.67376682
 0.9217119  0.88132296 0.74332649 0.76808722]","[0.9653061224489796, 0.9753303964757709, 0.8614341085271318, 0.8287128712871287, 0.8757637474541752, 0.6737668161434979, 0.9217118997912318, 0.8813229571984437, 0.7433264887063655, 0.7680872150644202]","[0.014080962553111927, 0.015610335673447016, 0.016521270300497572, 0.02127075739842145, 0.01748716173395908, 0.010937432138045393, 0.015531201238834521, 0.017245059180497617, 0.021417910455789422, 0.01714650676104658]"
2,orchestrator,0.4480901585102081,0.8787,0.8756640604824583,0.8778825933661109,0.8758995263091934,"[0.96836735 0.97973568 0.86531008 0.87029703 0.8910387  0.72533632
 0.93632568 0.8959144  0.78028747 0.84638256]","[0.9683673469387756, 0.9797356828193831, 0.8653100775193796, 0.8702970297029703, 0.8910386965376782, 0.7253363228699553, 0.9363256784968685, 0.8959143968871596, 0.7802874743326489, 0.846382556987116]","[0.010570465824558376, 0.010235472158552052, 0.012399936469682382, 0.01908726847783699, 0.012339284004518078, 0.008820257186509682, 0.012932619153564081, 0.014826176126174182, 0.017662389466181504, 0.0190155463444299]"
3,orchestrator,0.3839262995123863,0.8918,0.8894672082031725,0.8901320898782759,0.8897914401690435,"[0.96938776 0.97885463 0.86434109 0.88910891 0.91955193 0.79372197
 0.93110647 0.89688716 0.79568789 0.8592666 ]","[0.9693877551020408, 0.9788546255506606, 0.8643410852713176, 0.8891089108910891, 0.9195519348268839, 0.7937219730941705, 0.9311064718162839, 0.896887159533074, 0.795687885010267, 0.8592666005946482]","[0.009633372991630116, 0.008444217988911274, 0.010598288564799373, 0.016929474303662404, 0.01217056666554127, 0.013230603761649452, 0.011289355594501097, 0.011945364846037611, 0.013859735893316235, 0.014352974757680539]"
4,orchestrator,0.35207202119231223,0.8978,0.8957729401916129,0.8966520684042745,0.8959680864898825,"[0.96734694 0.98061674 0.85949612 0.87722772 0.92973523 0.79484305
 0.94363257 0.90077821 0.83880903 0.86719524]","[0.96734693877551, 0.9806167400881055, 0.8594961240310077, 0.8772277227722772, 0.929735234215886, 0.7948430493273543, 0.9436325678496869, 0.9007782101167315, 0.8388090349075976, 0.867195242814668]","[0.007419055213837741, 0.008538642239576235, 0.008350900012520071, 0.013248424176972251, 0.014002569718120231, 0.010939471128715529, 0.011539191581656656, 0.011964941697013207, 0.016697498133180208, 0.012890321109649472]"
5,orchestrator,0.33344541912525894,0.9039,0.9019915514410854,0.9029091738492564,0.9021218636864632,"[0.97346939 0.9814978  0.87015504 0.9019802  0.92668024 0.80493274
 0.94467641 0.90077821 0.84291581 0.8741328 ]","[0.9734693877551021, 0.9814977973568282, 0.8701550387596899, 0.901980198019802, 0.9266802443991854, 0.804932735426009, 0.9446764091858038, 0.9007782101167315, 0.8429158110882957, 0.8741328047571854]","[0.008218043985762905, 0.007195352605213164, 0.008549216968606617, 0.014925100581215246, 0.012644729730513449, 0.009380984127816171, 0.010842723497712722, 0.010416616065681141, 0.014359967143192938, 0.012220750087104215]"
6,orchestrator,0.32064569415822625,0.9073,0.9054712813587816,0.906009071494157,0.905782472355467,"[0.9755102  0.98237885 0.87693798 0.89306931 0.93380855 0.82735426
 0.94885177 0.90466926 0.84804928 0.86719524]","[0.9755102040816327, 0.9823788546255506, 0.8769379844961238, 0.8930693069306931, 0.9338085539714868, 0.827354260089686, 0.9488517745302714, 0.9046692607003891, 0.8480492813141685, 0.867195242814668]","[0.009026201788581439, 0.006425686284301747, 0.008318284454228208, 0.011529203261560298, 0.01304733075933024, 0.010825532926229712, 0.011295766905291398, 0.009833828836742517, 0.013297253768732253, 0.011087052842261068]"
7,orchestrator,0.3115159177262336,0.9094,0.9075783384011814,0.9083756464622255,0.9077501674745226,"[0.9755102  0.98502203 0.88468992 0.8970297  0.93075356 0.82174888
 0.94989562 0.9036965  0.84907598 0.88007929]","[0.9755102040816327, 0.9850220264317181, 0.88468992248062, 0.897029702970297, 0.9307535641547863, 0.8217488789237668, 0.9498956158663884, 0.9036964980544747, 0.8490759753593429, 0.8800792864222002]","[0.009037334162447834, 0.006098622753250694, 0.008980302894995037, 0.011054256689282406, 0.013762721752854546, 0.009255784587934657, 0.010941180472879744, 0.009194902786706574, 0.01150392280499689, 0.012670785011848632]"
8,orchestrator,0.30833040751907975,0.9128,0.9111593240124589,0.911851816950287,0.911311194142335,"[0.9744898  0.98590308 0.8875969  0.9029703  0.93584521 0.83632287
 0.9519833  0.90856031 0.85728953 0.87215064]","[0.9744897959183674, 0.9859030837004406, 0.887596899224806, 0.902970297029703, 0.9358452138492873, 0.8363228699551569, 0.9519832985386222, 0.9085603112840467, 0.8572895277207393, 0.8721506442021804]","[0.007413311387683332, 0.006548009494935527, 0.008553073070937679, 0.010906802065108426, 0.014299426882891098, 0.009471849504837988, 0.010363573039391729, 0.008743822901583091, 0.011467108127717056, 0.01077614114454184]"
9,orchestrator,0.30079186759684234,0.9146,0.9130158527541374,0.9135495470478618,0.9131361364330297,"[0.97653061 0.98414097 0.88178295 0.90891089 0.92769857 0.83856502
 0.94989562 0.91439689 0.862423   0.88701685]","[0.976530612244898, 0.9841409691629956, 0.8817829457364341, 0.9089108910891089, 0.9276985743380856, 0.8385650224215248, 0.9498956158663884, 0.914396887159533, 0.8624229979466119, 0.8870168483647175]","[0.007955370968688468, 0.006098112341203783, 0.007656625024840855, 0.01208161170912609, 0.011172544591250909, 0.009477820874417533, 0.009780252726436714, 0.009205622815711937, 0.011866412183729143, 0.011221030727894758]"
10,orchestrator,0.2942851962955669,0.9169,0.9154409440495053,0.9158868458184989,0.9156486845718561,"[0.97755102 0.98502203 0.88275194 0.90693069 0.93482688 0.85650224
 0.94989562 0.91342412 0.86652977 0.88305253]","[0.9775510204081632, 0.9850220264317181, 0.8827519379844961, 0.906930693069307, 0.9348268839103869, 0.8565022421524664, 0.9498956158663884, 0.9134241245136187, 0.86652977412731, 0.8830525272547076]","[0.00818259585580789, 0.005774277058993707, 0.007305425513401877, 0.010981928228594574, 0.012590082453276221, 0.009810123767932603, 0.009570156973704756, 0.008192293402273454, 0.011129811385984604, 0.01018698916907891]"
11,orchestrator,0.2896303273274563,0.9188,0.9174246798942788,0.9179599910701045,0.9175599893858415,"[0.97653061 0.98414097 0.89147287 0.9019802  0.93482688 0.85426009
 0.95407098 0.91439689 0.8798768  0.88404361]","[0.976530612244898, 0.9841409691629956, 0.8914728682170541, 0.901980198019802, 0.934826883910387, 0.8542600896860987, 0.954070981210856, 0.914396887159533, 0.8798767967145791, 0.8840436075322101]","[0.0083095050774771, 0.006010458961348972, 0.008281848103062615, 0.00973133244166782, 0.012235572440057192, 0.00855959721145954, 0.010030030625168397, 0.007533344898369777, 0.011281659953745807, 0.009626662081152345]"
12,orchestrator,0.2899095759886317,0.9207,0.9193957185926352,0.9198178876847629,0.9194902566794456,"[0.97959184 0.98325991 0.88662791 0.91386139 0.93075356 0.86210762
 0.9519833  0.92120623 0.86858316 0.89692765]","[0.9795918367346939, 0.9832599118942731, 0.886627906976744, 0.9138613861386139, 0.9307535641547862, 0.8621076233183856, 0.9519832985386222, 0.9212062256809338, 0.8685831622176592, 0.8969276511397423]","[0.007627465101681021, 0.005901955289819331, 0.007421710054279593, 0.011130802246612202, 0.010119312315053981, 0.008789547668536199, 0.008750802888580014, 0.008644644781498574, 0.010504065508515483, 0.010564964501595275]"
13,orchestrator,0.28605234787678346,0.9228,0.9214840812730161,0.9219899705308278,0.9215304019779957,"[0.9755102  0.98325991 0.90116279 0.91485149 0.93380855 0.85762332
 0.95615866 0.92412451 0.87782341 0.89098117]","[0.9755102040816327, 0.9832599118942731, 0.9011627906976742, 0.9148514851485149, 0.9338085539714868, 0.8576233183856502, 0.9561586638830898, 0.9241245136186771, 0.87782340862423, 0.8909811694747275]","[0.007061467063578008, 0.005355958153043794, 0.008075297778785274, 0.010518006012881838, 0.011371510413957429, 0.007996901035476654, 0.009560088997020618, 0.007993741498470453, 0.009931940040676178, 0.009323531252781205]"
14,orchestrator,0.28550222641192374,0.9242,0.9229178693493472,0.9234095297627494,0.9229532869291939,"[0.9755102  0.98325991 0.9001938  0.91782178 0.93584521 0.86098655
 0.95615866 0.92996109 0.87782341 0.89197225]","[0.9755102040816327, 0.9832599118942731, 0.9001937984496122, 0.9178217821782179, 0.9358452138492872, 0.8609865470852018, 0.9561586638830898, 0.9299610894941635, 0.87782340862423, 0.8919722497522299]","[0.006721131485777489, 0.005249221692845178, 0.007759306787169962, 0.010494456458160273, 0.011258936157630442, 0.007990929665897107, 0.00888609424210016, 0.008646989977258447, 0.009931940040676176, 0.008668452460047167]"
15,orchestrator,0.2839703890762292,0.9257,0.9244593812687579,0.9250286082522482,0.9244448701130071,"[0.97857143 0.98414097 0.89922481 0.91881188 0.93584521 0.85650224
 0.95824635 0.92607004 0.88911704 0.89791873]","[0.9785714285714285, 0.9841409691629956, 0.8992248062015502, 0.9188118811881189, 0.935845213849287, 0.8565022421524664, 0.9582463465553236, 0.9260700389105059, 0.8891170431211499, 0.8979187314172448]","[0.006723301830216892, 0.0049129827221492395, 0.007403753929308908, 0.011064830514654898, 0.011157132692136251, 0.007078459313051659, 0.007977422876127089, 0.007761118756433421, 0.010645786245106419, 0.009225355439696208]"
16,orchestrator,0.27912940451619217,0.9261,0.9249587745395415,0.9254264972210484,0.9249516664364101,"[0.97755102 0.98414097 0.89341085 0.91683168 0.93686354 0.86547085
 0.95511482 0.92509728 0.89117043 0.90386521]","[0.9775510204081632, 0.9841409691629956, 0.8934108527131781, 0.9168316831683169, 0.9368635437881874, 0.8654708520179372, 0.9551148225469729, 0.9250972762645915, 0.891170431211499, 0.9038652130822596]","[0.006573148898775299, 0.004908074271162466, 0.007291582067727558, 0.010467071327812364, 0.010595091739330117, 0.007089594591154004, 0.007733068854620231, 0.007542783949315352, 0.011520079214041893, 0.00966654237893828]"
17,orchestrator,0.2823599457756616,0.9268,0.9256430888264828,0.9261810923362889,0.9256339051953872,"[0.97959184 0.98414097 0.90116279 0.91683168 0.94297352 0.86547085
 0.95407098 0.9270428  0.88911704 0.89593657]","[0.9795918367346939, 0.9841409691629956, 0.9011627906976742, 0.9168316831683169, 0.9429735234215886, 0.8654708520179372, 0.954070981210856, 0.9270428015564203, 0.8891170431211499, 0.8959365708622399]","[0.007031481131538151, 0.005359496305245979, 0.007417075438778453, 0.010467490260907073, 0.011479460100351661, 0.007313682708384617, 0.007284611458076968, 0.007650998725599812, 0.009855070512613017, 0.008769627585851758]"
18,orchestrator,0.28174832252745985,0.9289,0.927734595669772,0.9282867785043484,0.9276899344673263,"[0.97857143 0.98502203 0.91569767 0.91782178 0.94195519 0.86547085
 0.95929019 0.92607004 0.88809035 0.89890981]","[0.9785714285714285, 0.9850220264317181, 0.9156976744186046, 0.9178217821782179, 0.9419551934826884, 0.8654708520179372, 0.9592901878914405, 0.9260700389105059, 0.8880903490759754, 0.8989098116947473]","[0.006021021341086051, 0.004701189263670963, 0.0080532755387842, 0.00971635099980576, 0.011162041143123025, 0.0066586632877318535, 0.008311615137263466, 0.007540878694766199, 0.009409854266442908, 0.008769627585851758]"
19,orchestrator,0.2787220013936982,0.9314,0.9303369654543514,0.9308587502929712,0.930287971773678,"[0.97755102 0.98502203 0.91763566 0.91683168 0.94602851 0.87107623
 0.95929019 0.92509728 0.90246407 0.90188305]","[0.9775510204081632, 0.9850220264317181, 0.9176356589147286, 0.9168316831683169, 0.9460285132382893, 0.8710762331838565, 0.9592901878914405, 0.9250972762645915, 0.9024640657084189, 0.9018830525272548]","[0.006250151482754625, 0.004473453964504664, 0.007706549658309451, 0.009121334933701805, 0.011166116742111555, 0.0063137192237344335, 0.007625445943821997, 0.006533396561414236, 0.009517629101516633, 0.008750011528488581]"
