epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.3311432688713074,0.7337,0.7153929333845863,0.7653784937524769,0.7258251801882014,"[0.98877551 0.97973568 0.66666667 0.87227723 0.54887984 0.30829596
 0.8736952  0.84241245 0.5174538  0.66005946]","[0.9887755102040816, 0.9797356828193833, 0.6666666666666666, 0.8722772277227723, 0.5488798370672098, 0.30829596412556054, 0.8736951983298539, 0.8424124513618677, 0.5174537987679672, 0.6600594648166501]","[0.07448171003448453, 0.03493104297643109, 0.01454493044697928, 0.06210585775171609, 0.00888344565526986, 0.00823215932575405, 0.05807373356991871, 0.015914300396268, 0.010410515707186145, 0.01706099281576856]"
1,orchestrator,0.6052333915948868,0.8522,0.847228101888561,0.8523808715169741,0.848335240126676,"[0.97040816 0.97621145 0.84205426 0.88316832 0.82484725 0.64461883
 0.9217119  0.89299611 0.71663244 0.81070367]","[0.9704081632653061, 0.9762114537444936, 0.8420542635658915, 0.8831683168316832, 0.824847250509165, 0.6446188340807175, 0.9217118997912317, 0.8929961089494164, 0.7166324435318275, 0.8107036669970268]","[0.01793253254496468, 0.014562952479890642, 0.015896447838764968, 0.024981382271179513, 0.010971464749611168, 0.009004172428011893, 0.017378963963979026, 0.017482868375410847, 0.01787995175346695, 0.022425663453969298]"
2,orchestrator,0.46379092496037483,0.8723,0.8688058108732968,0.8704949672175163,0.86973691993543,"[0.97653061 0.97004405 0.85658915 0.88712871 0.90936864 0.73878924
 0.92275574 0.88715953 0.7412731  0.80773043]","[0.976530612244898, 0.9700440528634362, 0.8565891472868215, 0.8871287128712871, 0.9093686354378819, 0.7387892376681614, 0.9227557411273486, 0.8871595330739299, 0.7412731006160165, 0.8077304261645193]","[0.01555629842038885, 0.008800261042028567, 0.012851545729531892, 0.01942543996292963, 0.018610270202509098, 0.013161015277030227, 0.01202569299656744, 0.013255832484550126, 0.015220481199218313, 0.015829918312545793]"
3,orchestrator,0.40045681416094303,0.8857,0.8829991659721136,0.884412343001514,0.8832845137244488,"[0.97346939 0.97709251 0.86627907 0.8970297  0.90631365 0.7544843
 0.92901879 0.88910506 0.79466119 0.84539148]","[0.9734693877551018, 0.977092511013216, 0.8662790697674416, 0.897029702970297, 0.9063136456211812, 0.7544843049327355, 0.9290187891440501, 0.8891050583657587, 0.7946611909650924, 0.8453914767096135]","[0.011201513776276564, 0.009581091802923054, 0.012185695397934175, 0.017845121710594786, 0.014232851529164672, 0.010755383045793425, 0.010935267782561188, 0.011381113329972256, 0.015502909968969006, 0.016062925295312207]"
4,orchestrator,0.3697934010833502,0.8908,0.8884932506441595,0.8893563890372775,0.8886514616786423,"[0.9744898  0.97797357 0.87209302 0.88712871 0.89816701 0.78026906
 0.92693111 0.88424125 0.8110883  0.8741328 ]","[0.9744897959183674, 0.9779735682819384, 0.8720930232558137, 0.8871287128712871, 0.8981670061099797, 0.7802690582959642, 0.9269311064718163, 0.8842412451361867, 0.811088295687885, 0.8741328047571854]","[0.01122562436572299, 0.008460989861410381, 0.010894975609669453, 0.015506518250945598, 0.011561376164018792, 0.01276085366752644, 0.009854417206445877, 0.010706883565880763, 0.014594270986873801, 0.018154688456347698]"
5,orchestrator,0.34961866942048075,0.8975,0.8954502988138391,0.8960016356590688,0.8957206318529769,"[0.97857143 0.97621145 0.87596899 0.8960396  0.92158859 0.80717489
 0.92484342 0.88715953 0.82443532 0.86521308]","[0.9785714285714285, 0.9762114537444935, 0.8759689922480618, 0.8960396039603961, 0.9215885947046843, 0.8071748878923767, 0.9248434237995825, 0.8871595330739299, 0.824435318275154, 0.865213082259663]","[0.012152108256391557, 0.006670466279020495, 0.010767597885188416, 0.01417215071367116, 0.012975728440925403, 0.012546478978281761, 0.008554958460536406, 0.009699965463232572, 0.014534115911403054, 0.013792394219152522]"
6,orchestrator,0.33496729462519287,0.8998,0.8977489135789789,0.8987468998351,0.8978525840636034,"[0.97857143 0.98237885 0.87209302 0.9        0.91649695 0.80156951
 0.92693111 0.89105058 0.82340862 0.88602577]","[0.9785714285714285, 0.9823788546255507, 0.8720930232558137, 0.9, 0.9164969450101834, 0.8015695067264574, 0.9269311064718163, 0.8910505836575876, 0.8234086242299795, 0.8860257680872151]","[0.01132470851583356, 0.007901574567844065, 0.009634102119838457, 0.01508255044460506, 0.011687133146370413, 0.011078655989565723, 0.008593164310594524, 0.00949406036690756, 0.012923409885621302, 0.01577776947103799]"
7,orchestrator,0.32153531030863525,0.9068,0.9049997762554458,0.905624550951738,0.9051490634469754,"[0.97857143 0.98061674 0.88856589 0.89405941 0.92668024 0.8206278
 0.93632568 0.89494163 0.84804928 0.88305253]","[0.9785714285714285, 0.9806167400881057, 0.888565891472868, 0.8940594059405941, 0.9266802443991853, 0.820627802690583, 0.9363256784968684, 0.8949416342412452, 0.8480492813141683, 0.8830525272547076]","[0.011352907707015936, 0.006668007039335937, 0.010176473082794334, 0.012065721458642535, 0.011893331607707544, 0.01046719112533185, 0.008817934972220522, 0.008713793636716859, 0.012861755772623776, 0.012372813100971332]"
8,orchestrator,0.3119745918683708,0.9102,0.9084577957426762,0.9090950302938208,0.9085983490584102,"[0.97959184 0.98325991 0.88856589 0.9019802  0.93177189 0.83071749
 0.93632568 0.90564202 0.84804928 0.88007929]","[0.9795918367346939, 0.9832599118942732, 0.888565891472868, 0.901980198019802, 0.9317718940936864, 0.8307174887892375, 0.9363256784968684, 0.9056420233463035, 0.8480492813141683, 0.8800792864222002]","[0.010381326404595917, 0.0060966455492758405, 0.009258258402628517, 0.01352340318334159, 0.011922394449179478, 0.010029981720622146, 0.008925600777560747, 0.008947892387222699, 0.011745241265900708, 0.010726645794772153]"
9,orchestrator,0.30711429527811707,0.9118,0.9100884079033909,0.910709628380776,0.9103655612136109,"[0.97857143 0.98061674 0.89244186 0.8990099  0.94806517 0.8396861
 0.94050104 0.90272374 0.84394251 0.87809713]","[0.9785714285714285, 0.9806167400881058, 0.8924418604651161, 0.899009900990099, 0.9480651731160896, 0.8396860986547086, 0.9405010438413361, 0.9027237354085603, 0.8439425051334702, 0.8780971258671952]","[0.010016215982097627, 0.004881021609148273, 0.008562718423443692, 0.012607940419853664, 0.014478961040166152, 0.010483593356466092, 0.008693832773947911, 0.007843664338731305, 0.01166056150259783, 0.01036531142731303]"
