epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.634467225265503,0.6153,0.5764691379592588,0.6967549912353925,0.6042843401333948,"[0.95816327 0.98678414 0.90213178 0.76534653 0.30244399 0.39573991
 0.1743215  0.89396887 0.45482546 0.20911794]","[0.9581632653061225, 0.986784140969163, 0.9021317829457365, 0.7653465346534654, 0.3024439918533605, 0.3957399103139013, 0.17432150313152403, 0.8939688715953308, 0.4548254620123203, 0.2091179385530228]","[0.031453716608772, 0.0636190739140995, 0.12780946193929552, 0.03391528941455303, 0.0037604731648409853, 0.007643314550516589, 0.002696546111430075, 0.12371588434543858, 0.006410348474394219, 0.038659957995109885]"
1,orchestrator,0.5533407857179642,0.8527,0.8486666218813989,0.8525491203418186,0.8497715409974645,"[0.95918367 0.94537445 0.85465116 0.86534653 0.87983707 0.66704036
 0.92379958 0.90175097 0.77823409 0.72249752]","[0.9591836734693877, 0.9453744493392071, 0.8546511627906974, 0.8653465346534653, 0.879837067209776, 0.6670403587443947, 0.9237995824634656, 0.9017509727626459, 0.7782340862422998, 0.7224975222993062]","[0.0133326110990842, 0.011612212522610093, 0.021368575806736543, 0.0193070706038575, 0.01751654647379706, 0.010031787006151751, 0.01592568752127345, 0.021247597932140795, 0.024086398209733552, 0.012492022827432139]"
2,orchestrator,0.4183853341072798,0.8787,0.8753083821462468,0.8787601128362393,0.8758883653537815,"[0.95918367 0.96475771 0.8624031  0.89405941 0.92769857 0.69170404
 0.92797495 0.90466926 0.83059548 0.79583746]","[0.9591836734693878, 0.9647577092511013, 0.8624031007751936, 0.8940594059405941, 0.9276985743380857, 0.6917040358744395, 0.9279749478079332, 0.9046692607003891, 0.8305954825462012, 0.7958374628344896]","[0.011174896627317596, 0.008593812403995926, 0.013627849734996065, 0.018547671662292084, 0.015123121524354913, 0.00804896361654935, 0.013902372865531186, 0.01627565110190698, 0.02250159754858598, 0.010105879188046027]"
3,orchestrator,0.37758054416775705,0.8922,0.8897836696394974,0.8919891774265288,0.8901699115813596,"[0.96326531 0.96828194 0.875      0.89108911 0.94297352 0.75896861
 0.93736952 0.90564202 0.85831622 0.80079286]","[0.963265306122449, 0.9682819383259913, 0.8749999999999998, 0.8910891089108911, 0.9429735234215888, 0.7589686098654709, 0.9373695198329854, 0.9056420233463035, 0.8583162217659138, 0.800792864222002]","[0.009674170082632237, 0.007553104820998285, 0.011728567983127604, 0.014212801264279623, 0.015328082215778761, 0.00881653215766314, 0.012537513876400277, 0.013370839776717195, 0.02058257838987972, 0.008229241008790338]"
4,orchestrator,0.36167722233440724,0.8988,0.8966322260192797,0.8986798570367986,0.8967557511266658,"[0.97142857 0.97268722 0.87112403 0.8970297  0.93380855 0.76345291
 0.94154489 0.90856031 0.86550308 0.84241824]","[0.9714285714285712, 0.9726872246696037, 0.8711240310077517, 0.897029702970297, 0.9338085539714869, 0.7634529147982063, 0.941544885177453, 0.9085603112840467, 0.8655030800821355, 0.8424182358771061]","[0.009684803568609667, 0.006945701604757516, 0.009912723100861331, 0.014599416421551973, 0.012104752481804697, 0.007772327541127628, 0.010937402985677247, 0.012812867462110866, 0.02145542763680624, 0.008490409278175274]"
5,orchestrator,0.35906288374299183,0.9047,0.9028884700561903,0.9040444579817933,0.9030437389875541,"[0.9744898  0.97444934 0.88081395 0.89207921 0.93177189 0.80156951
 0.94780793 0.90661479 0.86652977 0.8543112 ]","[0.9744897959183672, 0.9744493392070482, 0.8808139534883719, 0.8920792079207921, 0.9317718940936864, 0.8015695067264574, 0.9478079331941545, 0.9066147859922179, 0.86652977412731, 0.8543111992071358]","[0.009910905970122933, 0.006399704467982004, 0.01020277125086756, 0.011104532417894972, 0.011839145142511671, 0.008096029100692749, 0.011263683383836877, 0.011384088375967827, 0.01792982070488131, 0.009598498087959673]"
6,orchestrator,0.3585375361240469,0.9085,0.9067832294932389,0.9082175707961238,0.9067964146611003,"[0.9755102  0.97444934 0.89050388 0.8970297  0.93075356 0.79820628
 0.94676409 0.91050584 0.88398357 0.86025768]","[0.9755102040816325, 0.9744493392070485, 0.890503875968992, 0.897029702970297, 0.9307535641547863, 0.7982062780269058, 0.9467640918580376, 0.9105058365758755, 0.8839835728952772, 0.8602576808721506]","[0.008998052013695598, 0.0056387946536207295, 0.009839863506342583, 0.011773469211105744, 0.011876349698002504, 0.006766983830036044, 0.00976436055299056, 0.010605552049005781, 0.018707524588034746, 0.00958858916260974]"
7,orchestrator,0.35945364575651473,0.912,0.9104255653838976,0.9114888984228908,0.9104336150162998,"[0.97653061 0.9753304  0.88953488 0.9049505  0.9287169  0.8161435
 0.95407098 0.91634241 0.86858316 0.8741328 ]","[0.9765306122448978, 0.9753303964757709, 0.88953488372093, 0.904950495049505, 0.9287169042769857, 0.8161434977578477, 0.954070981210856, 0.9163424124513618, 0.8685831622176592, 0.8741328047571854]","[0.008531403215593376, 0.00487620910688063, 0.00940174576460732, 0.012901122345618342, 0.011132622255619062, 0.006422460719277569, 0.009912234110259264, 0.011174986263968427, 0.014532463175750287, 0.010632958579870233]"
8,orchestrator,0.3645342590137152,0.9129,0.9112743731955562,0.9125177779319855,0.9113592335215227,"[0.97959184 0.97709251 0.89147287 0.8980198  0.93788187 0.81502242
 0.95511482 0.91731518 0.8788501  0.86323092]","[0.9795918367346939, 0.9770925110132158, 0.8914728682170541, 0.898019801980198, 0.9378818737270876, 0.8150224215246636, 0.9551148225469729, 0.9173151750972762, 0.8788501026694046, 0.8632309217046581]","[0.008536593294819421, 0.0048841277472413645, 0.00981972008722851, 0.010566606009115595, 0.012785137539399423, 0.006201525258863589, 0.010481921239533003, 0.010955707051949223, 0.014973458532435098, 0.009284943771056414]"
9,orchestrator,0.3696320280740503,0.9171,0.9156834688416104,0.916664444712214,0.9157582314867877,"[0.98061224 0.97797357 0.89534884 0.9039604  0.9389002  0.83520179
 0.95929019 0.92315175 0.88090349 0.86223984]","[0.9806122448979592, 0.9779735682819382, 0.8953488372093021, 0.903960396039604, 0.9389002036659879, 0.8352017937219731, 0.9592901878914405, 0.9231517509727627, 0.8809034907597536, 0.8622398414271556]","[0.007132408186976518, 0.0051094263716956086, 0.008841523236647318, 0.010987201253792364, 0.011856374274557989, 0.006422754084289717, 0.010103463552675242, 0.011401647120384065, 0.013109383314978362, 0.008637783618683122]"
