epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.3160918685913086,0.7429,0.722585522871501,0.7741247649358275,0.7359836043003393,"[0.9744898  0.97444934 0.74806202 0.89405941 0.85539715 0.36883408
 0.87891441 0.80642023 0.39835729 0.46085233]","[0.9744897959183672, 0.9744493392070485, 0.748062015503876, 0.8940594059405941, 0.8553971486761711, 0.3688340807174888, 0.8789144050104384, 0.806420233463035, 0.39835728952772065, 0.46085232903865214]","[0.0463068421506042, 0.03602974611307549, 0.01980286695595121, 0.06504779458577414, 0.06463678614785585, 0.003268387149102109, 0.018820324961650495, 0.015852480041344784, 0.0073414589989626335, 0.016244863673079993]"
1,orchestrator,0.6151086125612258,0.838,0.8328549941773501,0.8392877602520636,0.8340047706578243,"[0.95306122 0.98237885 0.81395349 0.88019802 0.80448065 0.62331839
 0.91858038 0.8959144  0.75359343 0.71456888]","[0.9530612244897957, 0.9823788546255509, 0.813953488372093, 0.8801980198019802, 0.8044806517311609, 0.6233183856502242, 0.918580375782881, 0.8959143968871596, 0.7535934291581109, 0.7145688800792864]","[0.012987379984241007, 0.019822718357272003, 0.013513468573411921, 0.026108901163884087, 0.023289482418055393, 0.006699773969884106, 0.017506147361398758, 0.019211378198688345, 0.022368335379944558, 0.022931558306748367]"
2,orchestrator,0.4782674564242363,0.8653,0.8617957543263739,0.865227913458925,0.8622197838489283,"[0.96836735 0.97621145 0.85174419 0.90792079 0.83910387 0.71973094
 0.91544885 0.90953307 0.7412731  0.79286422]","[0.9683673469387755, 0.9762114537444935, 0.8517441860465116, 0.907920792079208, 0.8391038696537678, 0.7197309417040358, 0.9154488517745303, 0.9095330739299611, 0.7412731006160165, 0.7928642220019821]","[0.01402668523819988, 0.01160009180789444, 0.011156036508352198, 0.02435360335097334, 0.019376002939109977, 0.008846827591524628, 0.01197963977888953, 0.014970316824251515, 0.014983180174252967, 0.021796744843297904]"
3,orchestrator,0.40972302942276,0.8857,0.8832908366048425,0.885184326316814,0.8834480383222969,"[0.97142857 0.97356828 0.87306202 0.8960396  0.901222   0.76121076
 0.93215031 0.88910506 0.81211499 0.82457879]","[0.9714285714285714, 0.973568281938326, 0.8730620155038757, 0.8960396039603961, 0.9012219959266803, 0.7612107623318386, 0.9321503131524009, 0.8891050583657588, 0.8121149897330595, 0.8245787908820614]","[0.011732895057833346, 0.009401548286475547, 0.011368739444101451, 0.01531204873375528, 0.018562103094943733, 0.00800144752236329, 0.011772356739422353, 0.009857964850148523, 0.017823493058076883, 0.01566958285477195]"
4,orchestrator,0.37287987676262857,0.8912,0.889102500302182,0.8905767795056712,0.8891846170778365,"[0.9744898  0.97885463 0.86337209 0.90594059 0.90733198 0.7926009
 0.92379958 0.8959144  0.8110883  0.83845391]","[0.9744897959183674, 0.9788546255506608, 0.8633720930232556, 0.905940594059406, 0.9073319755600815, 0.7926008968609866, 0.9237995824634656, 0.8959143968871596, 0.811088295687885, 0.8384539147670962]","[0.011012212009740377, 0.00884281553730468, 0.010370605442298002, 0.017470750602469845, 0.017695338291809425, 0.009361838503737877, 0.008988130205688043, 0.009282866266590818, 0.015547147802393782, 0.014556498584815555]"
5,orchestrator,0.3473267081871629,0.8997,0.8975391717749742,0.899055098602175,0.8976385166717866,"[0.9744898  0.98325991 0.88178295 0.91386139 0.9185336  0.79035874
 0.9394572  0.89883268 0.82546201 0.85034688]","[0.9744897959183674, 0.9832599118942733, 0.8817829457364339, 0.9138613861386139, 0.9185336048879837, 0.7903587443946188, 0.9394572025052192, 0.8988326848249028, 0.8254620123203286, 0.8503468780971258]","[0.010131470994910888, 0.008741779102221736, 0.009900632547850896, 0.014570059113167725, 0.016561830354811354, 0.008581724011427169, 0.010137071552941931, 0.008430242515959733, 0.013916004438246244, 0.012764166844254842]"
6,orchestrator,0.3315713369421661,0.9048,0.9028441479291459,0.9040860043634078,0.9028613943684484,"[0.97857143 0.98325991 0.88081395 0.90990099 0.91547862 0.80269058
 0.94050104 0.90466926 0.83264887 0.88007929]","[0.9785714285714285, 0.9832599118942733, 0.8808139534883719, 0.9099009900990099, 0.9154786150712831, 0.8026905829596412, 0.9405010438413361, 0.9046692607003891, 0.8326488706365504, 0.8800792864222002]","[0.009293454306724569, 0.007633997569549831, 0.009009882264808464, 0.014856022355251103, 0.01438902753537568, 0.008564143698346188, 0.009252195161028785, 0.008533842206269552, 0.012726084972588684, 0.013673133965114503]"
7,orchestrator,0.31901468146555123,0.9069,0.9050568241150682,0.9063254602953965,0.9050335147592274,"[0.97755102 0.98414097 0.88178295 0.91584158 0.91955193 0.81165919
 0.9394572  0.90953307 0.83470226 0.87611497]","[0.9775510204081632, 0.9841409691629958, 0.8817829457364339, 0.9158415841584159, 0.919551934826884, 0.8116591928251122, 0.9394572025052192, 0.9095330739299611, 0.8347022587268994, 0.8761149653121902]","[0.009183443305624447, 0.0075368186739884395, 0.008464546664312327, 0.015538568273327077, 0.01442706264287145, 0.008348995272233109, 0.008559812180087042, 0.008185081033396114, 0.012474368706012139, 0.012799620182339525]"
8,orchestrator,0.30668946940898895,0.9114,0.9097262902067051,0.9106908445717632,0.9097152397874039,"[0.9744898  0.98414097 0.88468992 0.91485149 0.91751527 0.82511211
 0.94989562 0.90856031 0.84394251 0.89395441]","[0.9744897959183672, 0.9841409691629956, 0.88468992248062, 0.9148514851485149, 0.9175152749490836, 0.8251121076233182, 0.9498956158663884, 0.9085603112840467, 0.8439425051334702, 0.8939544103072349]","[0.008126648333507673, 0.007423160490952634, 0.008008217390414253, 0.013516078377396868, 0.01263052687157694, 0.0084480860221214, 0.0095070455963281, 0.007512371078812149, 0.012225505744083742, 0.012918760331024013]"
9,orchestrator,0.2994273832384497,0.9148,0.913235333325734,0.9140646484178789,0.9131439667469543,"[0.9755102  0.98502203 0.89437984 0.91584158 0.92057026 0.83071749
 0.94572025 0.9114786  0.85626283 0.89593657]","[0.9755102040816327, 0.9850220264317181, 0.8943798449612401, 0.9158415841584159, 0.9205702647657841, 0.8307174887892377, 0.9457202505219208, 0.9114785992217899, 0.8562628336755648, 0.8959365708622399]","[0.008253117613966151, 0.0072138212579677535, 0.008635981256869771, 0.012678368640183494, 0.011396178358932474, 0.008109222357437015, 0.008203485840433053, 0.007952633142679577, 0.012599239926126046, 0.011464655219899736]"
