epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.1912813658714294,0.7586,0.7406172143135953,0.7685630129391526,0.7555824494298943,"[0.94897959 0.88281938 0.76550388 0.90891089 0.85132383 0.60426009
 0.87891441 0.90953307 0.53798768 0.26759167]","[0.9489795918367347, 0.8828193832599119, 0.7655038759689923, 0.9089108910891089, 0.8513238289205702, 0.6042600896860987, 0.8789144050104384, 0.9095330739299612, 0.537987679671458, 0.267591674925669]","[0.027569374314565766, 0.0042439707895953385, 0.02953705026312292, 0.050369342982125885, 0.04022607245692776, 0.02310746571057995, 0.015446364321527453, 0.05578035697977785, 0.018199216092938446, 0.007095842277844883]"
1,orchestrator,0.5860946193218232,0.8445,0.8411534705295566,0.8433965320434093,0.8420436224733077,"[0.96122449 0.95418502 0.79457364 0.86831683 0.8503055  0.7029148
 0.92588727 0.88035019 0.77207392 0.71060456]","[0.9612244897959185, 0.9541850220264317, 0.7945736434108527, 0.8683168316831683, 0.8503054989816701, 0.702914798206278, 0.9258872651356994, 0.8803501945525292, 0.7720739219712526, 0.7106045589692765]","[0.01379039885626184, 0.010237361151731718, 0.014481926955191102, 0.021220010389896182, 0.026009992764904608, 0.010587300778713258, 0.01382951531732156, 0.01615318731726196, 0.02413101785405891, 0.02506637475542812]"
2,orchestrator,0.46817309926748274,0.8676,0.8649504187651551,0.8658349008727463,0.8655296841332021,"[0.97040816 0.96123348 0.83527132 0.87128713 0.88187373 0.75224215
 0.934238   0.87937743 0.78542094 0.7839445 ]","[0.9704081632653061, 0.9612334801762116, 0.8352713178294574, 0.8712871287128713, 0.8818737270875764, 0.7522421524663677, 0.9342379958246346, 0.8793774319066148, 0.7854209445585215, 0.7839444995044599]","[0.01178341533437736, 0.010870144982626506, 0.013717165245016677, 0.016639313153130025, 0.019331619313529398, 0.0128261036866095, 0.012465171665374985, 0.012296157037345311, 0.018964003266574683, 0.020518368389635416]"
3,orchestrator,0.4090766756147146,0.882,0.879654090512793,0.8800207403251312,0.8803403679328679,"[0.97653061 0.97004405 0.84496124 0.87128713 0.91446029 0.79372197
 0.93528184 0.87840467 0.80800821 0.81070367]","[0.976530612244898, 0.9700440528634362, 0.8449612403100775, 0.8712871287128713, 0.914460285132383, 0.7937219730941705, 0.9352818371607516, 0.8784046692607004, 0.8080082135523614, 0.8107036669970268]","[0.011333627210379128, 0.008098736098911777, 0.011440719269725931, 0.014364181598828648, 0.0175772274953999, 0.01561226534789163, 0.011088180486399946, 0.01083581767609048, 0.016548037042104922, 0.016056354515525874]"
4,orchestrator,0.3730348779156804,0.8917,0.8895940898496996,0.8901981658912858,0.8899348753854254,"[0.97857143 0.97268722 0.86434109 0.88118812 0.92158859 0.79147982
 0.934238   0.88521401 0.83059548 0.839445  ]","[0.9785714285714285, 0.9726872246696036, 0.8643410852713178, 0.8811881188118812, 0.9215885947046843, 0.7914798206278026, 0.9342379958246347, 0.8852140077821011, 0.8305954825462012, 0.8394449950445986]","[0.011219169720051277, 0.007090810488747403, 0.011103796276045061, 0.014059623083715198, 0.01536870197216083, 0.01223003313910938, 0.008533294243017693, 0.010505457583589648, 0.01746301642469524, 0.0147206799739512]"
5,orchestrator,0.35105627609193324,0.8988,0.896889572570544,0.8971693787450139,0.8972757322367023,"[0.97755102 0.97797357 0.86337209 0.87326733 0.92769857 0.81726457
 0.93736952 0.88910506 0.84394251 0.86521308]","[0.9775510204081632, 0.9779735682819384, 0.8633720930232558, 0.8732673267326733, 0.9276985743380856, 0.8172645739910314, 0.9373695198329854, 0.8891050583657587, 0.8439425051334702, 0.865213082259663]","[0.009957246165978853, 0.006869577979323553, 0.00949624988451899, 0.011555607919142171, 0.013478130329767364, 0.013909196929020623, 0.00929385271672176, 0.010059959979534953, 0.01591671763462727, 0.013601535753917253]"
6,orchestrator,0.3380514362625778,0.9028,0.9008596414073388,0.9014510989974589,0.9010757130856195,"[0.98163265 0.97797357 0.87693798 0.8950495  0.92260692 0.81165919
 0.934238   0.89785992 0.83470226 0.87809713]","[0.9816326530612245, 0.9779735682819384, 0.876937984496124, 0.8950495049504951, 0.9226069246435845, 0.8116591928251121, 0.9342379958246347, 0.8978599221789884, 0.8347022587268994, 0.8780971258671952]","[0.010910067328162057, 0.00542816255347615, 0.008950959425372076, 0.015155577956550932, 0.01281632372703513, 0.011711828908296707, 0.007819706528699972, 0.009949839948701343, 0.013315198481798185, 0.01385820949121894]"
7,orchestrator,0.32752051391266285,0.9052,0.9032819730416766,0.9037030265935417,0.9035987535862733,"[0.97755102 0.97709251 0.88856589 0.89108911 0.92973523 0.82286996
 0.94572025 0.90175097 0.82648871 0.87512389]","[0.9775510204081632, 0.9770925110132159, 0.888565891472868, 0.8910891089108911, 0.9297352342158858, 0.8228699551569507, 0.9457202505219207, 0.9017509727626459, 0.8264887063655031, 0.8751238850346879]","[0.009575656456006184, 0.005680705229614146, 0.010264019392118752, 0.014028343755133042, 0.0129242520990962, 0.012265616233169994, 0.009323573558871404, 0.00884970003578863, 0.011576919180004721, 0.012623710075448871]"
8,orchestrator,0.31976225562728944,0.9096,0.9078987595371194,0.9083686997617801,0.908120013712761,"[0.97755102 0.97885463 0.8875969  0.8980198  0.9389002  0.82959641
 0.94467641 0.90077821 0.85010267 0.87512389]","[0.9775510204081632, 0.9788546255506608, 0.887596899224806, 0.898019801980198, 0.9389002036659876, 0.8295964125560538, 0.9446764091858038, 0.9007782101167315, 0.8501026694045175, 0.8751238850346879]","[0.0079264354336822, 0.005336438588823971, 0.009374357732215103, 0.013378464002772848, 0.014081353931477284, 0.010936315356581202, 0.008848380878893307, 0.00884629192143597, 0.01189522090383525, 0.011465614902770586]"
9,orchestrator,0.31069066336378454,0.9126,0.9110102516112544,0.9113562926552456,0.9112284799464261,"[0.97959184 0.97973568 0.88565891 0.9        0.93584521 0.83744395
 0.94467641 0.90272374 0.86652977 0.88007929]","[0.9795918367346939, 0.9797356828193833, 0.885658914728682, 0.9, 0.9358452138492872, 0.8374439461883408, 0.9446764091858038, 0.9027237354085603, 0.86652977412731, 0.8800792864222002]","[0.008023614329243613, 0.0049981643257293535, 0.00849611339000806, 0.011134715251041226, 0.013269754469599906, 0.010710655780459096, 0.008602304875339738, 0.008627663749305755, 0.013191066012515221, 0.011580970098506706]"
