epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.227243741607666,0.761,0.7517153095602926,0.7934865586615536,0.7535755791037777,"[0.94183673 0.95594714 0.83914729 0.80990099 0.56211813 0.36995516
 0.69624217 0.76653696 0.78336756 0.81070367]","[0.9418367346938775, 0.9559471365638766, 0.8391472868217055, 0.80990099009901, 0.5621181262729125, 0.3699551569506726, 0.6962421711899792, 0.7665369649805446, 0.7833675564681726, 0.8107036669970268]","[0.009792566669567846, 0.024624090529012717, 0.045071898681717265, 0.038781579452328914, 0.010819071910108509, 0.0030771140908194858, 0.0019397907873208104, 0.01676400142885437, 0.055399797560298635, 0.06753500099688509]"
1,orchestrator,0.5765997153282165,0.8466,0.8435367054979821,0.8464353633568107,0.8436418498767836,"[0.96020408 0.96387665 0.82848837 0.84059406 0.8401222  0.68609865
 0.91962422 0.85311284 0.74845996 0.79583746]","[0.9602040816326531, 0.9638766519823788, 0.8284883720930233, 0.8405940594059406, 0.840122199592668, 0.6860986547085203, 0.9196242171189979, 0.853112840466926, 0.7484599589322382, 0.7958374628344896]","[0.010875658001633802, 0.01795416962402568, 0.016181521457517316, 0.023906021354352897, 0.019996447183399328, 0.010556475361879324, 0.011833636797210154, 0.012860120199397133, 0.02313648600683196, 0.026430741928437314]"
2,orchestrator,0.44822829755544663,0.8688,0.8661123958602985,0.8684999381116455,0.8662830586088459,"[0.9744898  0.96563877 0.83527132 0.88811881 0.86659878 0.73206278
 0.92066806 0.86867704 0.76591376 0.84539148]","[0.9744897959183674, 0.9656387665198238, 0.8352713178294574, 0.8881188118811881, 0.8665987780040734, 0.7320627802690584, 0.9206680584551148, 0.8686770428015564, 0.7659137577002053, 0.8453914767096135]","[0.01263526414468156, 0.010337264376867895, 0.013712014070857339, 0.022890455555861618, 0.01587828998093732, 0.010112084649046473, 0.010309091740827107, 0.011101782454125077, 0.017453377335154494, 0.024144755015145722]"
3,orchestrator,0.3898016064912081,0.8834,0.881068929211688,0.8823437226016679,0.881362482647212,"[0.97346939 0.9753304  0.83914729 0.87623762 0.90325866 0.7690583
 0.93528184 0.87548638 0.8100616  0.85629336]","[0.9734693877551018, 0.9753303964757709, 0.8391472868217053, 0.8762376237623762, 0.9032586558044807, 0.7690582959641256, 0.9352818371607515, 0.8754863813229572, 0.8100616016427105, 0.8562933597621407]","[0.01126316570073618, 0.00947018986140084, 0.010413068828312564, 0.014967015760388022, 0.015127216130068058, 0.011004371002938558, 0.011806778374026586, 0.010257003361853027, 0.01735539749068739, 0.020155257214908677]"
4,orchestrator,0.35947259352207184,0.8934,0.8913201725727425,0.8925209271048657,0.8915566525221152,"[0.9755102  0.9753304  0.85562016 0.87227723 0.91955193 0.78587444
 0.93841336 0.88132296 0.83059548 0.88107037]","[0.9755102040816325, 0.9753303964757709, 0.8556201550387597, 0.8722772277227723, 0.919551934826884, 0.7858744394618834, 0.9384133611691023, 0.8813229571984436, 0.8305954825462012, 0.8810703666997026]","[0.01195182251019939, 0.007899879305938754, 0.010673436998225146, 0.012109128769127222, 0.013108281837835856, 0.010004414224745517, 0.011230586791156898, 0.008141188839741957, 0.01749320919148693, 0.017880659840303157]"
5,orchestrator,0.3379596490740776,0.9014,0.8994139822362733,0.9003962384269825,0.8995262065239491,"[0.9744898  0.98325991 0.875      0.8990099  0.92158859 0.80493274
 0.9394572  0.90175097 0.82956879 0.86620416]","[0.9744897959183674, 0.9832599118942731, 0.875, 0.899009900990099, 0.9215885947046843, 0.804932735426009, 0.9394572025052192, 0.9017509727626459, 0.8295687885010268, 0.8662041625371655]","[0.009691759380577203, 0.008690595085612972, 0.009830164816764846, 0.01498646664620208, 0.01162942984330552, 0.009584554219298467, 0.010925288673847887, 0.010476067652917235, 0.013680588817149794, 0.012142633171047298]"
6,orchestrator,0.3229959138147533,0.906,0.9041981899383442,0.9048010114734547,0.9043209627309758,"[0.9755102  0.97973568 0.88275194 0.8970297  0.92566191 0.81838565
 0.93632568 0.90077821 0.8449692  0.88206145]","[0.9755102040816325, 0.9797356828193833, 0.8827519379844961, 0.897029702970297, 0.9256619144602851, 0.8183856502242153, 0.9363256784968684, 0.9007782101167315, 0.8449691991786448, 0.8820614469772051]","[0.010029603186419236, 0.005903209598081646, 0.010219862534431981, 0.013658331509985399, 0.011634873250056854, 0.009906281982677278, 0.009666474096506561, 0.008142249235165329, 0.014129792610402555, 0.013019363406299896]"
7,orchestrator,0.31597521282583474,0.9099,0.908106981961808,0.9089415178637525,0.9082047286085666,"[0.97755102 0.98325991 0.88468992 0.8980198  0.93177189 0.8161435
 0.94050104 0.90272374 0.86036961 0.88701685]","[0.9775510204081632, 0.9832599118942732, 0.8846899224806202, 0.898019801980198, 0.9317718940936863, 0.8161434977578476, 0.9405010438413361, 0.9027237354085603, 0.8603696098562629, 0.8870168483647175]","[0.009687518414226314, 0.0055669706273857094, 0.00888083512124708, 0.012645538998909042, 0.011728513993416087, 0.00856936008789186, 0.010493917517150071, 0.007149884157326338, 0.014574936435403814, 0.0126972706375253]"
8,orchestrator,0.30687294359635564,0.9122,0.9105118777257036,0.9114141257270022,0.9104948078751789,"[0.97653061 0.98502203 0.89050388 0.91188119 0.92566191 0.82174888
 0.94154489 0.90661479 0.8613963  0.88404361]","[0.976530612244898, 0.9850220264317181, 0.890503875968992, 0.9118811881188119, 0.9256619144602851, 0.8217488789237669, 0.941544885177453, 0.9066147859922179, 0.8613963039014374, 0.8840436075322101]","[0.00887657695302667, 0.006135606547488544, 0.00867570373050846, 0.013706690459890949, 0.01140180555261789, 0.008011281882064014, 0.00969651899528021, 0.007370124218993561, 0.013238635320306003, 0.012337269811846944]"
9,orchestrator,0.3035245586346835,0.9149,0.9133293506412482,0.9140916708124388,0.9133773869392858,"[0.97755102 0.98502203 0.88372093 0.91584158 0.92769857 0.83632287
 0.94363257 0.90466926 0.8613963  0.89791873]","[0.9775510204081632, 0.9850220264317181, 0.8837209302325579, 0.9158415841584159, 0.9276985743380856, 0.836322869955157, 0.9436325678496869, 0.9046692607003891, 0.8613963039014374, 0.8979187314172448]","[0.008849082792945297, 0.005338925424858205, 0.007903336701989136, 0.013979306544611821, 0.010523299531442412, 0.008556801513480865, 0.00967390789524409, 0.007039764126492727, 0.011733744887083921, 0.012649178427089755]"
