epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.7090019639968872,0.702,0.6731474288385284,0.7616857117047123,0.7018591203382002,"[0.85918367 0.92511013 0.53003876 0.61881188 0.53258656 0.76345291
 0.94780793 0.88618677 0.88603696 0.06937562]","[0.8591836734693877, 0.9251101321585904, 0.5300387596899225, 0.6188118811881188, 0.5325865580448066, 0.7634529147982063, 0.9478079331941545, 0.8861867704280156, 0.8860369609856263, 0.06937561942517344]","[0.006637162495889328, 0.009939495577551792, 0.0031013434383160288, 0.006100841221355889, 0.033825137046789994, 0.054474781707701, 0.0832595696301382, 0.04973304619149518, 0.0835050345334336, 0.0006912322259954675]"
1,orchestrator,0.5539801988959312,0.8436,0.8392224129450329,0.843530618003699,0.8405677950644096,"[0.94489796 0.96211454 0.84496124 0.85247525 0.8503055  0.68721973
 0.94467641 0.89494163 0.71149897 0.71258672]","[0.9448979591836733, 0.9621145374449339, 0.8449612403100775, 0.8524752475247525, 0.8503054989816701, 0.6872197309417041, 0.9446764091858038, 0.8949416342412452, 0.7114989733059548, 0.7125867195242814]","[0.011456969766517148, 0.011532714949659437, 0.017513491548952126, 0.0223604866249454, 0.028078973239142904, 0.0102218524994156, 0.02530298162563254, 0.015756109787286907, 0.014983119217019248, 0.019940195114306804]"
2,orchestrator,0.41587910868227485,0.8764,0.873780011541391,0.8751930006585017,0.8746356222582611,"[0.9622449  0.95947137 0.85658915 0.84653465 0.91038697 0.7735426
 0.93632568 0.90856031 0.82956879 0.76313181]","[0.9622448979591837, 0.9594713656387666, 0.8565891472868217, 0.8465346534653465, 0.9103869653767821, 0.7735426008968608, 0.9363256784968685, 0.9085603112840467, 0.8295687885010267, 0.7631318136769079]","[0.011507598184174066, 0.00632674791057249, 0.013203533183578463, 0.01219178378642268, 0.021965637921420873, 0.01321420852668223, 0.015752123011975865, 0.013934682996297668, 0.01870722526111944, 0.0124902122641328]"
3,orchestrator,0.37050345455780626,0.8927,0.8905605143497703,0.8911721631864987,0.8910557024671389,"[0.96938776 0.96563877 0.875      0.88316832 0.91955193 0.80269058
 0.9394572  0.91050584 0.8275154  0.81764123]","[0.9693877551020408, 0.9656387665198238, 0.8749999999999998, 0.8831683168316832, 0.919551934826884, 0.8026905829596412, 0.9394572025052192, 0.9105058365758755, 0.8275154004106776, 0.817641228939544]","[0.009672838342745016, 0.0057855457252832376, 0.012381657361298988, 0.013844372166191745, 0.01726951446381375, 0.012829822585562287, 0.012032365626308729, 0.011599579778209248, 0.013975231194942076, 0.011658292236601643]"
4,orchestrator,0.35008267977125945,0.9017,0.8997677757674074,0.9006338083572082,0.9001576746112919,"[0.9744898  0.969163   0.87790698 0.88217822 0.93380855 0.80381166
 0.94676409 0.90953307 0.86447639 0.839445  ]","[0.9744897959183672, 0.9691629955947136, 0.8779069767441858, 0.8821782178217822, 0.9338085539714868, 0.8038116591928252, 0.9467640918580376, 0.9095330739299611, 0.864476386036961, 0.8394449950445986]","[0.009218865590024716, 0.004997085413211705, 0.010697286030736733, 0.011669351586350074, 0.015796792422189086, 0.010348710276236541, 0.01193825426440065, 0.009564653257875836, 0.016895525002558382, 0.009809393254980732]"
5,orchestrator,0.3446149868192151,0.9056,0.9036855666989068,0.9044510405858258,0.9039685146830175,"[0.97857143 0.97621145 0.87693798 0.8960396  0.92973523 0.81165919
 0.94676409 0.91439689 0.85010267 0.8592666 ]","[0.9785714285714285, 0.9762114537444935, 0.8769379844961238, 0.8960396039603961, 0.929735234215886, 0.8116591928251122, 0.9467640918580376, 0.914396887159533, 0.8501026694045175, 0.8592666005946482]","[0.009677479451026854, 0.00535088258389967, 0.009969825063099168, 0.013097939376425735, 0.013924735359668686, 0.009470749403728558, 0.011156260143502263, 0.009893952954953288, 0.013068770479853664, 0.01109105553604475]"
6,orchestrator,0.3304245760413818,0.912,0.9105701259436962,0.9106263370528952,0.9108484307278154,"[0.97857143 0.97444934 0.88372093 0.89009901 0.92057026 0.84977578
 0.94885177 0.90758755 0.87577002 0.87908821]","[0.9785714285714285, 0.9744493392070486, 0.8837209302325579, 0.8900990099009901, 0.9205702647657842, 0.8497757847533632, 0.9488517745302715, 0.9075875486381323, 0.8757700205338809, 0.8790882061446977]","[0.00801052160358167, 0.004093456553087891, 0.010485672673905433, 0.010460150654345912, 0.011207712851385297, 0.011344809966791559, 0.009526352542186159, 0.008119600227653087, 0.013528337591699309, 0.012280684526679754]"
7,orchestrator,0.3338387407438364,0.9135,0.9119623138415532,0.9123334947634183,0.9121677784146662,"[0.97959184 0.97797357 0.88372093 0.8980198  0.92464358 0.83744395
 0.95093946 0.91342412 0.87782341 0.87809713]","[0.9795918367346939, 0.9779735682819384, 0.8837209302325579, 0.898019801980198, 0.9246435845213851, 0.8374439461883408, 0.9509394572025053, 0.9134241245136187, 0.87782340862423, 0.8780971258671952]","[0.008359475916919632, 0.004896071964989979, 0.009719601149058898, 0.010729833592627445, 0.011973000630735722, 0.009552943888574306, 0.010008241758475775, 0.008353332918706139, 0.013131689512124647, 0.010867165984824833]"
8,orchestrator,0.33347516653584314,0.9168,0.9154215550995026,0.9157425044507637,0.9156375634177338,"[0.98061224 0.97444934 0.89050388 0.89108911 0.91955193 0.84753363
 0.9519833  0.92023346 0.89835729 0.88206145]","[0.9806122448979592, 0.9744493392070485, 0.890503875968992, 0.8910891089108911, 0.919551934826884, 0.8475336322869955, 0.9519832985386222, 0.9202334630350194, 0.8983572895277208, 0.8820614469772051]","[0.008371332113050783, 0.004099448930783475, 0.010013204309228387, 0.008976189746556031, 0.010391109923967325, 0.009211919363408705, 0.010449902723257474, 0.008707002542566337, 0.013074753366941083, 0.010441177627202832]"
9,orchestrator,0.3371372141765547,0.9188,0.9174735004821836,0.9177521936354397,0.9176441851937363,"[0.98163265 0.97973568 0.89244186 0.8970297  0.92057026 0.85650224
 0.95407098 0.91634241 0.88911704 0.88899901]","[0.9816326530612245, 0.9797356828193834, 0.8924418604651161, 0.897029702970297, 0.9205702647657841, 0.8565022421524664, 0.954070981210856, 0.9163424124513618, 0.8891170431211499, 0.8889990089197225]","[0.008358918940606783, 0.004320526858640125, 0.009467852262126162, 0.008733473005527674, 0.011323077258874084, 0.009105653536032678, 0.008955156419488457, 0.007600223775438207, 0.012087644396097823, 0.01155393444301668]"
