epoch,node,loss,accuracy,fscore,precision,recall,test_accuracy_per_class,true_positive_rate,false_positive_rate
0,orchestrator,1.2655799454689025,0.7454,0.7272390731782277,0.7828248141421914,0.7375529206869222,"[0.9755102  0.98942731 0.8246124  0.90594059 0.62627291 0.33632287
 0.88517745 0.90272374 0.5687885  0.36075322]","[0.9755102040816327, 0.9894273127753305, 0.8246124031007752, 0.905940594059406, 0.6262729124236253, 0.336322869955157, 0.8851774530271399, 0.9027237354085603, 0.5687885010266941, 0.3607532210109019]","[0.023199781947933516, 0.031750362160871355, 0.016371768800168576, 0.07060327402134116, 0.005890940787684905, 0.0017942214344100359, 0.013867378290905416, 0.09069715791899113, 0.014085812609960002, 0.023347167931153632]"
1,orchestrator,0.574191894698143,0.8574,0.8528366592705462,0.8587452211317206,0.8539753458407446,"[0.96530612 0.97973568 0.84786822 0.85544554 0.90427699 0.64686099
 0.93215031 0.87743191 0.78439425 0.74628345]","[0.9653061224489796, 0.9797356828193833, 0.8478682170542635, 0.8554455445544554, 0.9042769857433809, 0.6468609865470852, 0.9321503131524008, 0.877431906614786, 0.784394250513347, 0.7462834489593657]","[0.014820271384985555, 0.014770437304183086, 0.014490772719840858, 0.02143229381538064, 0.0259252380304949, 0.006714035598181043, 0.016028090077915343, 0.012807023960607202, 0.02204279072168848, 0.01321866211922883]"
2,orchestrator,0.4445812751889229,0.8773,0.8742374052574509,0.8766422108123267,0.8749234446125591,"[0.97142857 0.98414097 0.84496124 0.87722772 0.91547862 0.74887892
 0.93736952 0.88424125 0.7936345  0.79187314]","[0.9714285714285714, 0.9841409691629958, 0.8449612403100776, 0.8772277227722772, 0.9154786150712833, 0.7488789237668162, 0.9373695198329854, 0.8842412451361868, 0.7936344969199178, 0.7918731417244796]","[0.012730259597603235, 0.01183983406248237, 0.011714877223969713, 0.017002079852766205, 0.020770150937629937, 0.01066356318199296, 0.015571058060477823, 0.011638521611837486, 0.01453059743860003, 0.012513008463130169]"
3,orchestrator,0.3882247711241245,0.8886,0.8859196748527458,0.8878811002489796,0.8864161680220594,"[0.9744898  0.97973568 0.8624031  0.89108911 0.93075356 0.76121076
 0.9394572  0.88715953 0.81724846 0.82061447]","[0.9744897959183672, 0.9797356828193833, 0.8624031007751936, 0.8910891089108911, 0.9307535641547862, 0.7612107623318386, 0.9394572025052192, 0.88715953307393, 0.8172484599589322, 0.8206144697720515]","[0.012210140261605152, 0.00881556487087935, 0.011264841939084736, 0.016686791631708945, 0.01775441299010589, 0.00944791362570336, 0.013516866100402496, 0.010398683667798427, 0.014968112707971357, 0.011140929958007724]"
4,orchestrator,0.3553646961092949,0.8973,0.8950046197646978,0.8961540332803709,0.8953199426793998,"[0.97346939 0.98061674 0.86531008 0.88514851 0.93482688 0.78139013
 0.94050104 0.8959144  0.83675565 0.8592666 ]","[0.9734693877551018, 0.9806167400881057, 0.8653100775193796, 0.8851485148514852, 0.9348268839103869, 0.781390134529148, 0.9405010438413361, 0.8959143968871596, 0.8367556468172485, 0.8592666005946482]","[0.011171044568144514, 0.00782413807771587, 0.010266894805397468, 0.012796164836460995, 0.015012341593424596, 0.009888668915778396, 0.011333192603169624, 0.010638827669641785, 0.014894846898621873, 0.01248505483231152]"
5,orchestrator,0.33763745560497044,0.9028,0.900844521384608,0.901929191156664,0.9009510978987016,"[0.9744898  0.9814978  0.87984496 0.8960396  0.92769857 0.80269058
 0.94258873 0.89494163 0.83162218 0.87809713]","[0.9744897959183672, 0.9814977973568283, 0.8798449612403099, 0.8960396039603961, 0.9276985743380856, 0.8026905829596414, 0.94258872651357, 0.8949416342412452, 0.8316221765913757, 0.8780971258671952]","[0.009641497911906901, 0.007587113294980023, 0.010368035857100036, 0.014184980122875859, 0.013348660391071684, 0.008890328646083127, 0.01039763105356285, 0.00964485070226578, 0.012248722643286322, 0.013742515044976934]"
6,orchestrator,0.3252771813586354,0.9057,0.903852698915642,0.9046992207789849,0.9041031301350824,"[0.97346939 0.98237885 0.88178295 0.89009901 0.94399185 0.8206278
 0.94885177 0.8959144  0.83572895 0.86818632]","[0.9734693877551018, 0.9823788546255509, 0.8817829457364339, 0.8900990099009901, 0.9439918533604889, 0.820627802690583, 0.9488517745302715, 0.8959143968871596, 0.8357289527720739, 0.8681863230921705]","[0.008955955545567051, 0.007697114812121961, 0.011320806129865897, 0.011605948780329355, 0.013863733700872892, 0.009899404831711601, 0.011188372176997738, 0.009869047849229892, 0.011792513123462363, 0.010359180677527466]"
7,orchestrator,0.31614870380870996,0.9084,0.9066964729649316,0.9075192280615159,0.9069627543095647,"[0.97244898 0.98237885 0.88081395 0.90990099 0.94195519 0.83856502
 0.94676409 0.90077821 0.83675565 0.8592666 ]","[0.9724489795918367, 0.9823788546255507, 0.8808139534883719, 0.9099009900990099, 0.9419551934826884, 0.8385650224215248, 0.9467640918580376, 0.9007782101167315, 0.8367556468172486, 0.8592666005946482]","[0.00910902165805262, 0.007025474736919526, 0.01057789559196873, 0.012699377478246022, 0.014369499010010275, 0.010146471768362043, 0.010253134684014946, 0.009200740582834942, 0.010854240591718826, 0.009138861331688916]"
8,orchestrator,0.3076365093410015,0.9118,0.9101791072768354,0.9110930594369387,0.9102866913732551,"[0.9744898  0.9814978  0.88468992 0.9009901  0.94602851 0.82959641
 0.94780793 0.91342412 0.85318275 0.87115956]","[0.9744897959183672, 0.9814977973568283, 0.88468992248062, 0.900990099009901, 0.9460285132382892, 0.8295964125560538, 0.9478079331941546, 0.9134241245136187, 0.8531827515400411, 0.8711595639246779]","[0.008694972776206825, 0.006591100490781117, 0.009593148190663196, 0.011554922616307698, 0.014073252254945193, 0.008004013661770615, 0.009358454619764355, 0.009318774784262351, 0.012551633476118219, 0.00994118115889691]"
9,orchestrator,0.3025508741360158,0.9148,0.9132943925557276,0.9140563242027333,0.9134192819628535,"[0.9744898  0.98325991 0.88953488 0.90990099 0.94297352 0.84529148
 0.95302714 0.90953307 0.84907598 0.87710605]","[0.9744897959183672, 0.9832599118942732, 0.88953488372093, 0.9099009900990099, 0.9429735234215886, 0.8452914798206278, 0.9530271398747391, 0.9095330739299611, 0.849075975359343, 0.8771060455896927]","[0.00823033826238722, 0.00625527096922175, 0.009593252750629734, 0.01127882836723585, 0.013369200084716438, 0.008210187670262591, 0.009471833304571613, 0.009105055063118908, 0.010518144138809459, 0.010168687208098357]"
